Country_Code,Country_Name,LP_Year,Learning_Poverty,F5_Internet_Usage,F1_GDP_per_capita,F8_Gender_Parity_Index,F7_Completion_Rate,F3_Pupil_Teacher_Ratio,F6_Net_Enrollment,F2_Gov_Edu_Exp,F4_Stunting_Rate
DNK,Denmark,2021,5.136589050292969,98.77559197,69379.22000847,0.999549984931946,99.2550430297852,,98.53748,6.35586023330688,
DOM,Dominican Republic,2019,77.71785736083984,86.12689972,23282.4895071054,0.970000028610229,91.6880720478921,18.92322,92.71356,3.7606477375256,6.7
ECU,Ecuador,2019,65.93712615966797,72.6943146,14343.0190134813,1.01957535743713,100.199679503356,24.26216,90.94167,3.81964993476868,17.5
EGY,"Egypt, Arab Rep.",2021,56.1192741394043,74.01190186,16691.387399222,1.00809001922607,93.8413993972316,23.67945,97.03257,,12.8
ESP,Spain,2021,7.300080299377441,95.44564516,47322.5937004504,1.01031005382538,99.5605087280273,13.13172,97.27171,4.58553981781006,
ETH,Ethiopia,2015,90.38964080810548,20.33749962,2757.95923634026,0.912419974803925,55.0561499631858,,84.62346,2.9272447768927,36.8
FIN,Finland,2021,4.781126976013184,93.51385075,56250.8787899319,0.997009992599487,98.9240798950195,13.66688,98.62944,6.37578010559082,2.8
FRA,France,2021,6.636741638183594,86.83635789,54296.7230897731,0.992519974708557,,,98.92727,5.32434988021851,
GAB,Gabon,2019,30.67756080627441,68.19789886,18701.4227766897,0.967231214046478,,,,2.31594287726056,14.4
GBR,United Kingdom,2021,3.3939032554626465,95.44719696,52592.6822066393,0.997720003128052,101.071876525879,15.13275,99.49182,5.90681982040405,2.0
GEO,Georgia,2021,13.526374816894531,81.88425624,22590.5293649146,1.00732004642487,106.243340748079,8.98194,96.43624,3.70918011665344,5.8
GIN,Guinea,2019,82.6748275756836,32.31560135,3904.82395527998,0.848070025444031,59.8791389465332,47.14862,76.01588,1.72470879088585,26.1
GTM,Guatemala,2019,78.51618957519531,56.72669983,12384.948508094,0.984549999237061,85.8256653187583,20.26228,86.88631,3.10877990722656,46.0
HKG,"Hong Kong SAR, China",2021,5.390165328979492,95.97781908,64434.5576690871,1.042799949646,105.857142857143,13.34788,95.45476,3.80328011512756,
HND,Honduras,2019,79.2916030883789,58.0685997,6467.8800352783,,73.4535986087997,25.59773,80.09489,4.54962037172702,18.7
HRV,Croatia,2021,3.890544176101685,83.24117599,41320.2032633085,1.00203001499176,100.516410827637,13.50611,88.0407,4.0916600227356,
HUN,Hungary,2021,9.155691146850586,91.4500713,40333.2546888118,0.979170024394989,96.809211730957,10.76744,90.83399,3.8011999130249,
IDN,Indonesia,2015,52.82275390625,69.20836554,13889.9749067297,0.967230021953583,99.9521715181012,17.03493,93.4963,1.27517088245674,22.0
IND,India,2017,56.070560455322266,60.25230026,9301.75603225735,1.01563942432404,93.4889604461665,32.74955,,4.09865814174589,35.5
IRL,Ireland,2021,2.330512762069702,96.8660965,117862.128878959,0.996510028839111,93.7389526367188,,95.78041,2.90461993217468,
IRN,"Iran, Islamic Rep.",2021,41.53630065917969,83.71050262,17044.8173461033,1.06061995029449,97.4371566772461,28.52479,99.70291,2.82443290958712,4.8
ISR,Israel,2021,14.399215698242188,87.03842615,47527.151024672,1.01163995265961,96.9190902709961,12.07069,97.01884,5.93291997909546,
ITA,Italy,2021,5.496755599975586,87.0278292,52870.3261442897,0.999210000038147,97.3619613647461,11.48066,95.65574,4.06775999069214,
JOR,Jordan,2021,62.24605178833008,92.53443944,9381.35436036929,0.987789988517761,97.1706496556539,18.53699,80.8644,3.51486315596325,8.2
JPN,Japan,2019,3.595027446746826,85.00990295,45858.6595131439,1.00253999233246,,15.66096,,3.33663988113403,
KAZ,Kazakhstan,2021,10.414955139160156,92.87846096,34703.2349286604,0.997829973697662,103.073237596239,17.21457,86.85584,4.86469984054565,8.0
KEN,Kenya,2023,79.28633880615234,32.07040024,5691.82513474417,0.970903754234314,102.200240064297,30.65055,,3.96229304413263,17.6
KHM,Cambodia,2019,90.00334930419922,68.92549896,6695.29194763723,0.981125771999359,87.630151233724,41.7035,90.26554,2.1809128340295,21.9
KOR,"Korea, Rep.",2019,3.2300806045532227,97.41597478,54029.3434990785,0.998160004615784,98.2711029052734,16.28669,97.25516,5.40910005569458,0.9
KWT,Kuwait,2016,51.0825309753418,99.74731125,47777.4012284844,1.15374994277954,80.4330430689574,8.88073,82.63321,5.0262608311279,3.2
LAO,Lao PDR,2019,97.71728515625,64.39800262,8372.15591874407,0.972314178943634,88.83898879882,22.33717,91.46712,1.23375160355741,32.8
LKA,Sri Lanka,2015,14.806066513061523,51.2,13024.9404319855,1.00074994564056,94.542850980354,21.73735,99.10711,1.82774571561927,10.3
LSO,Lesotho,2016,96.89913940429688,48.98590088,2595.82951058542,0.951355755329132,66.9579010009766,32.94806,93.31062,7.29011355590957,34.6
LTU,Lithuania,2021,3.275724411010742,88.50287484,46159.7081733083,1.00065994262695,105.190582275391,13.51703,98.17529,4.25285005569458,1.0
LVA,Latvia,2021,8.437901496887207,92.18791291,37277.7217221317,1.00128996372223,97.5514907836914,11.53684,96.30354,4.3196702003479,0.5
MAC,"Macao SAR, China",2021,7.189741611480713,89.82640076,104815.20003062,0.978659987449646,89.5238095238095,13.49843,96.39553,3.50183010101318,
MAR,Morocco,2021,59.7595329284668,91.0,8915.3515625,0.972779989242554,104.762394206542,26.80065,99.09904,6.02096928801329,14.2
MDG,Madagascar,2019,95.24203491210938,18.24080086,1629.46097248642,1.01724004745483,58.3078522383415,39.81169,95.60378,3.04770386693564,39.8
MEX,Mexico,2019,47.63417816162109,81.18318755,21917.24858366,1.00940001010895,103.764976501465,26.55228,95.30064,4.05987977981567,12.5
MKD,North Macedonia,2021,33.02886962890625,88.5,23455.319400522,0.999520003795624,95.7642974853516,14.91335,94.8883,,4.3
MLT,Malta,2021,10.160184860229492,92.07266941,60418.3949311068,0.996710002422333,97.1002807617188,12.93931,99.53764,4.71258020401001,3.3
MMR,Myanmar,2019,89.46794128417969,45.4477005,5364.13797034429,0.95550000667572,105.356811523438,24.3599,97.93192,1.99976003170013,26.7
MNE,Montenegro,2021,15.811262130737305,88.5515976,27243.51720726,1.00494003295898,106.734153747559,,96.54847,,7.2
MYS,Malaysia,2019,42.025634765625,97.69272633,32857.6676600774,1.0134334564209,91.8132677411604,11.6556,99.64564,3.51481008529663,21.2
NER,Niger,2019,90.43682098388672,12.98079967,1689.56425367067,0.912519991397858,45.7957488996882,36.33661,65.12458,4.07412707618114,47.7
NIC,Nicaragua,2019,78.90349578857422,60.30120087,7496.5292687685,0.993812501430511,81.7195205688477,,,2.86954998970032,
NLD,Netherlands,2021,4.4913740158081055,97.00680272,70198.9297909022,0.998040020465851,,11.80592,98.64765,5.17918014526367,
NOR,Norway,2021,4.294078350067139,99.00000258,90085.4382059786,1.00313997268677,98.9264831542969,8.59418,99.88251,5.43234014511108,
NZL,New Zealand,2021,10.861350059509276,93.32610321,49508.2697230172,1.0025600194931,,14.91552,99.11677,5.21326017379761,
OMN,Oman,2021,40.61376190185547,95.25170135,37793.6164427762,0.996529996395111,86.5904581737646,9.67394,86.25355,4.38311004638672,11.4
PAK,Pakistan,2019,79.54325103759766,18.935,5418.7693189297,0.881079971790314,68.6482822316824,44.0773,67.5748,1.94658005237579,37.6
PAN,Panama,2019,78.51261138916016,68.54851592,35872.9506479276,0.989219427108765,93.2789665970772,21.96162,86.23979,2.47225999832153,15.9
PER,Peru,2019,44.44244384765625,79.48484477,15327.5819994558,0.970359981060028,94.9881591796875,17.38724,95.65167,4.24538993835449,11.5
PHL,Philippines,2019,90.91326141357422,77.86699677,9898.53294588746,0.976957738399506,77.2485372465695,29.08352,93.7756,3.6236863467978,26.7
POL,Poland,2021,5.55067777633667,86.414744,43672.7668014946,0.96372002363205,94.6803894042969,10.18051,95.78475,4.31372976303101,1.0
PRT,Portugal,2021,7.977720737457275,85.79012676,41768.2549192626,0.988300025463104,104.516647338867,12.35346,97.56411,4.55160999298096,3.2
PRY,Paraguay,2019,77.74401092529297,78.09481878,15826.087501295,0.969376385211945,90.271367469734,,,3.393709897995,5.6
QAT,Qatar,2021,21.058874130249023,98.15229797,116563.992526162,1.02335000038147,93.1810913085938,12.1676,94.09431,3.23368000984192,6.2
RUS,Russian Federation,2021,3.764247417449951,92.24496346,39887.33984375,0.990400016307831,100.024342021158,21.25883,95.09612,4.16454853394225,
SAU,Saudi Arabia,2021,32.40557861328125,100.0,64481.8441927288,1.01462996006012,119.840624867605,13.81495,94.5456,4.48087978363037,10.8
SEN,Senegal,2019,68.56822967529297,59.18740082,4304.76148720232,1.16403996944427,61.5314165000969,36.31817,75.3821,6.16277045366329,17.5
SGP,Singapore,2021,3.3700108528137207,94.28518987,129555.245509242,0.999549984931946,96.8465629805147,14.69428,99.66959,2.1037700176239,
SLV,El Salvador,2019,69.07362365722656,62.61989975,11424.6459176917,,80.8345580048987,26.89473,80.99537,3.18734002113342,10.0
SRB,Serbia,2021,8.846851348876953,85.35746686,25735.2402009063,1.00295996665955,96.0487213134766,14.2927,94.55098,3.40377998352051,5.4
SVK,Slovak Republic,2021,22.12482261657715,87.2131343,39518.2209359245,0.996540009975433,100.707176208496,15.53919,83.09318,4.65688991546631,
SVN,Slovenia,2021,7.218116283416748,90.37794678,47977.4268117652,0.998000025749207,97.4238586425781,13.80157,98.26288,5.28065013885498,
SWE,Sweden,2021,5.272164821624756,95.70327461,62662.7652797761,1.0529899597168,99.6335906982422,12.23325,99.18177,7.31909990310669,
TCD,Chad,2019,94.4105453491211,12.03590012,2433.09879153397,0.80009001493454,41.849262823527,56.88788,73.15289,3.20149725837724,31.9
TGO,Togo,2019,81.65792083740234,37.57020187,2842.23076240747,0.964990019798279,87.3158245775118,40.14504,90.73097,4.14281885166484,23.8
TTO,Trinidad and Tobago,2016,20.64458274841309,81.9681015,31196.603554718,,91.5974807739258,,,3.23358011245727,
TUR,Turkiye,2021,18.50908851623535,85.96074155,35069.1701714685,0.985870003700256,90.6154174804688,16.97782,87.90006,3.09571003913879,6.0
URY,Uruguay,2019,43.61836624145508,90.92590332,31059.2537072459,0.9896399974823,101.1690082913,11.0193,99.3775,4.76461982727051,6.9
USA,United States,2021,9.691570281982422,93.52559662,74158.7164155605,0.995100021362305,95.743522644043,14.19857,94.62633,5.42038011550903,3.8
UZB,Uzbekistan,2021,32.36526107788086,89.01361047,10007.685502618,0.979889988899231,96.0921933647617,21.50664,94.59704,5.47287597270024,6.5
VNM,Viet Nam,2019,18.12091636657715,78.08,13545.9346616752,1.01944005489349,100.779516746248,20.27696,,2.88738689372749,18.2
XKX,Kosovo,2021,37.9216194152832,89.4430319734879,14240.2030320365,,,,,,
ZAF,South Africa,2021,82.01705169677734,78.33670044,13695.3755694076,0.959590017795563,95.3327484577974,30.3322,87.01258,6.12347984313965,21.3
ZMB,Zambia,2019,98.50421142578124,16.45070076,3673.4841969922,1.02419996261597,,42.05996,83.16745,4.07374933049157,34.6
