Country_Code,Country_Name,LP_Year,Learning_Poverty,F5_Internet_Usage,F1_GDP_per_capita,F8_Gender_Parity_Index,F7_Completion_Rate,F3_Pupil_Teacher_Ratio,F6_Net_Enrollment,F2_Gov_Edu_Exp,F4_Stunting_Rate,N1_Under5_Mortality,N2_Adolescent_Fertility,N3_Electricity_Access,N4_Physicians_per_1000,N5_Child_Marriage_Female,G1_Gov_Effectiveness,G2_Corruption_Control,G3_Rule_of_Law,G_AVG_Governance,GDP_Quartile,log_GDP,LP_Predicted_by_GDP,Residual,Deviance_Group
CZE,Czechia,2021,14.206607818603516,85.99404818,47558.4106763314,1.00294995307922,98.7293701171875,12.280348,89.3503,4.30291986465454,2.08,2.6,5.979,100.0,4.352,4.24,1.1140114068985,0.767809867858887,1.14218366146088,1.008001645406089,"Q3
(중소득)",10.76971393301194,18.594062664329726,-4.387454845726211,Middle
DEU,Germany,2021,15.439902305603027,92.4763763,63039.3719696432,1.0077600479126,99.2837371826172,12.30285,90.14286,5.23916006088257,1.3,3.7,5.473,100.0,4.534,0.2199999999999999,1.18541669845581,1.66416621208191,1.55120778083801,1.466930230458577,"Q4
(고소득)",11.051514762071653,11.633604207969881,3.806298097633146,Middle
DNK,Denmark,2021,5.136589050292969,98.77559197,69379.22000847,0.999549984931946,99.2550430297852,14.87175,98.53748,6.35586023330688,4.220000000000001,3.9,1.14,100.0,4.498,0.7,2.01564884185791,2.37605309486389,1.90893590450287,2.1002126137415567,"Q4
(고소득)",11.147342678149649,9.266662169346262,-4.130073119053293,Middle
DOM,Dominican Republic,2019,77.71785736083984,86.12689972,23282.4895071054,0.970000028610229,91.6880720478921,18.92322,92.71356,3.7606477375256,6.7,31.5,52.774,99.6,2.426,31.5,0.12803441286087,-0.449474930763245,-0.128592282533646,-0.1500109334786736,"Q2
(저소득)",10.055456833718395,36.23615720103288,41.48170015980696,Negative
ECU,Ecuador,2019,65.93712615966797,72.6943146,14343.0190134813,1.01957535743713,100.199679503356,24.26216,90.94167,3.81964993476868,17.5,13.0,55.531,98.7,2.313,22.2,-0.494244992733002,-0.647337436676025,-0.957790791988373,-0.6997910737991333,"Q2
(저소득)",9.571018622921258,48.20174315114468,17.735383008523286,Negative
EGY,"Egypt, Arab Rep.",2021,56.1192741394043,74.01190186,16691.387399222,1.00809001922607,93.8413993972316,23.67945,97.03257,3.608227144445342,12.8,22.9,41.754,100.0,0.671,15.8,-0.239516973495483,-0.747790396213531,-0.184178426861763,-0.3904952655235923,"Q2
(저소득)",9.722648140775691,44.4565059092769,11.662768230127398,Middle
ESP,Spain,2021,7.300080299377441,95.44564516,47322.5937004504,1.01031005382538,99.5605087280273,13.13172,97.27171,4.58553981781006,2.08,3.2,4.809,100.0,4.294,4.24,0.752065539360046,0.629368722438812,0.822885692119598,0.7347733179728188,"Q3
(중소득)",10.764743128518573,18.716841146870763,-11.416760847493322,Middle
ETH,Ethiopia,2015,90.38964080810548,20.33749962,2757.95923634026,0.912419974803925,55.0561499631858,42.352534,84.62346,2.9272447768927,36.8,51.5,69.865,55.4,0.143,40.3,-0.768662095069885,-0.465061634778976,-0.670203268527985,-0.634642332792282,"Q1
(최저소득)",7.92224627809183,88.9262912245942,1.4633495835112882,Middle
FIN,Finland,2021,4.781126976013184,93.51385075,56250.8787899319,0.997009992599487,98.9240798950195,13.66688,98.62944,6.37578010559082,2.8,2.4,3.095,100.0,3.609,0.1,1.73860657215118,2.22151660919189,1.96704590320587,1.97572302818298,"Q4
(고소득)",10.937576942876753,14.447859438376895,-9.666732462363711,Middle
FRA,France,2021,6.636741638183594,86.83635789,54296.7230897731,0.992519974708557,99.4151458740234,13.72124,98.92727,5.32434988021851,2.44,4.3,3.507,100.0,3.281,1.32,1.14462625980377,1.18482184410095,1.18057084083557,1.17000631491343,"Q4
(고소득)",10.902219155846359,15.321194014982154,-8.68445237679856,Middle
